"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-DH-A669-01"	0.778304142457821	NA	1.02177485165347	0.913927605243	0.762769772785	0.814580133333333	"LGG"	0.8	0.8	0.8437404	0.9199
"TCGA-DH-A66B-01"	0.736167471638889	NA	0.942592576883577	0.826771269284	0.682422900864	0.7643628	"LGG"	0.65	0.75	0.8930884	0.8806
"TCGA-DH-A66D-01"	0.652799882959847	NA	0.903209259194807	0.871695012322	0.710543575	0.796984733333333	"LGG"	0.86	0.67	0.8609542	0.8806
"TCGA-DH-A66F-01"	0.74800613439102	NA	0.533138816490672	0.957062419268	0.694504384774	0.652341733333333	"LGG"	0.47	0.8	0.6870252	0.9741
"TCGA-DU-5847-01"	0.791347062788335	NA	1.21484847460889	0.792999005616	0.607395546654	0.786754966666667	"LGG"	0.64	0.73	0.9902649	0.7563
"TCGA-DU-5849-01"	0.427979553248636	NA	0.514255218266472	0.947069609372	0.569857743378	0.4824278	"LGG"	0.5	0.63	0.3172834	0.963
"TCGA-DU-5852-01"	0.495977395625537	NA	0.927628668911544	0.828993494448	0.571697389185	0.6470772	"LGG"	0.68	0.59	0.6712316	0.7913
"TCGA-DU-5853-01"	0.673159309397553	NA	0.80039296131018	0.846227117022	0.460325533333	0.496651666666667	"LGG"	0.29	0.58	0.619955	0.8338
"TCGA-DU-5854-01"	0.57779341945434	NA	1.04496166562961	0.804016035358	0.430551016667	0.4399246	"LGG"	0.35	0.53	0.4397738	0.7629
"TCGA-DU-5855-01"	0.606214081388098	NA	0.846611057499554	0.858197493529	0.562018662981	0.5945697	"LGG"	0.54	0.58	0.6637091	0.8391
"TCGA-DU-5870-01"	0.584106088101154	NA	0.589884344807829	0.913441533442	0.67000070951	0.691349866666667	"LGG"	0.69	0.73	0.6540496	0.9051
"TCGA-DU-5871-01"	0.773137660213026	NA	0.704091062450429	0.892838798923	0.628896425442	0.6487335	"LGG"	0.47	0.55	0.9262005	0.8875
"TCGA-DU-5872-01"	0.646025368371725	NA	0.702902743535254	0.855008938093	0.651552793628	0.7353514	"LGG"	0.78	0.63	0.7960542	0.8386
"TCGA-DU-5874-01"	0.711774961267703	NA	0.667625605701755	0.978890124838	0.866327449079	0.862467366666667	"LGG"	0.93	0.85	0.8074021	0.989
"TCGA-DU-6392-01"	0.608288212986594	NA	0.899110840156711	0.851904586774	0.514719786377	0.550808766666667	"LGG"	0.33	0.58	0.7424263	0.8277
"TCGA-DU-6393-01"	0.789987956076843	NA	0.658294697047585	0.979954408886	0.882358558333	0.848092166666667	"LGG"	0.75	0.84	0.9542765	0.9896
"TCGA-DU-6394-01"	0.635700141635411	NA	0.611012063522713	0.948067919407	0.768273466667	0.7748685	"LGG"	0.69	0.8	0.8346055	0.953
"TCGA-DU-6395-01"	0.715339987611027	NA	0.7039886749295	0.907775403401	0.580005786377	0.5819219	"LGG"	0.33	0.66	0.7557657	0.913
"TCGA-DU-6396-01"	0.631697883382203	NA	1.30955965027986	0.712062047741	0.511383092844	0.613255866666667	"LGG"	0.51	0.57	0.7597676	0.7913
