"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-D3-A5GU-06"	NA	NA	1.09420402183731	0.788510668515	0.651990672209	0.886498266666667	"SKCM"	1	0.66	0.9994948	0.836
"TCGA-D9-A148-06"	NA	NA	0.523893478493473	0.834114607675	0.645729316907	0.739408566666667	"SKCM"	0.62	0.6	0.9982257	0.8168
"TCGA-D9-A149-06"	NA	NA	1.00047463463499	0.75220262557	0.540935499062	0.533477866666667	"SKCM"	0.45	0.51	0.6404336	0.7213
"TCGA-D9-A1JW-06"	NA	NA	0.47017176906683	0.709554918962	0.552285989175	0.702081433333333	"SKCM"	0.55	0.56	0.9962443	0.652
"TCGA-D9-A1JX-06"	NA	NA	0.896803142920092	0.73506146671	0.678232791187	0.7165235	"SKCM"	0.64	0.72	0.7895705	0.6786
"TCGA-D9-A3Z1-06"	NA	NA	0.770463376383447	0.669204186504	0.381421636311	0.359515166666667	"SKCM"	0.34	0.42	0.3185455	0.5976
"TCGA-D9-A3Z3-06"	NA	NA	0.498130578850561	0.684806505627	0.552867247208	0.5809942	"SKCM"	0.57	0.59	0.5829826	0.6201
"TCGA-D9-A6E9-06"	NA	NA	0.197831106576381	0.540194129341	0.33909105	0.356687266666667	"SKCM"	0.35	0.28	0.4400618	0.4904
"TCGA-D9-A6EA-06"	NA	NA	0.799485837328092	0.928877107362	0.802752942653	0.919827866666667	"SKCM"	1	0.76	0.9994836	0.9387
"TCGA-D9-A6EC-06"	NA	NA	0.824379880164876	0.926284234484	0.856264413128	0.903299666666667	"SKCM"	0.9	0.81	0.999899	0.9391
"TCGA-D9-A6EG-06"	NA	NA	0.974748358007336	0.911541249101	0.832670218311	0.841242533333333	"SKCM"	0.81	0.84	0.8737276	0.8975
"TCGA-DA-A1HV-06"	NA	NA	0.791458547011665	0.704556401795	0.538133422786	0.688601333333333	"SKCM"	0.59	0.49	0.985804	0.6554
"TCGA-DA-A1HW-06"	NA	NA	0.898311707752192	0.678481177514	0.501878745997	0.519151233333333	"SKCM"	0.49	0.47	0.5974537	0.6165
"TCGA-DA-A1HY-06"	NA	NA	0.934442042628815	0.845246919032	0.682346274616	0.756362166666667	"SKCM"	0.56	0.71	0.9990865	0.8282
"TCGA-DA-A1I0-06"	NA	NA	0.328616867568233	0.725315467994	0.419725757697	0.3915685	"SKCM"	0.35	0.33	0.4947055	0.6709
"TCGA-DA-A1I1-06"	NA	NA	0.821263969790792	0.659357364172	0.532848490987	0.5745015	"SKCM"	0.56	0.55	0.6135045	0.6089
"TCGA-DA-A1I2-06"	NA	NA	1.12681023130712	0.818470098543	0.671264546147	0.7626154	"SKCM"	0.58	0.71	0.9978462	0.7923
"TCGA-DA-A1I4-06"	NA	NA	0.74594531626424	0.615344169833	0.421742339953	0.607977133333333	"SKCM"	0.35	0.49	0.9839314	0.5223
"TCGA-DA-A1I5-06"	NA	NA	0.75239398899738	0.566862486149	0.477795222177	0.5332747	"SKCM"	0.46	0.56	0.5798241	0.4528
"TCGA-DA-A1I7-06"	NA	NA	0.825740354403234	0.775359380531	0.57325824408	0.692659966666667	"SKCM"	0.54	0.54	0.9979799	0.7466
"TCGA-DA-A1I8-06"	NA	NA	0.696289295425434	0.84218983369	0.696412900362	0.6954872	"SKCM"	0.65	0.6	0.8364616	0.8222
"TCGA-DA-A1IA-06"	NA	NA	0.602141970825919	0.929748437091	0.843639359807	0.8897732	"SKCM"	0.91	0.76	0.9993196	0.9352
"TCGA-DA-A1IB-06"	NA	NA	0.455637427907256	0.422615471269	0.313832253317	0.551971733333333	"SKCM"	0.52	1	0.1359152	0.2138
"TCGA-DA-A1IC-06"	NA	NA	0.800461972412124	0.825545284967	0.734592512141	0.829944666666667	"SKCM"	0.75	0.74	0.999834	0.8057
"TCGA-DA-A3F2-06"	NA	NA	1.52199315700839e-05	0.249461308188	0.325402930398	0.296066943333333	"SKCM"	0.48	0.33	0.07820083	0.1274
"TCGA-DA-A3F3-06"	NA	NA	1.19941360239683	0.88562822892	0.838168620424	0.862810266666667	"SKCM"	0.83	0.89	0.8684308	0.7913
"TCGA-DA-A3F5-06"	NA	NA	0.982657917394117	0.870227673917	0.631827092507	0.5912754	"SKCM"	0.45	0.41	0.9138262	0.7913
"TCGA-DA-A3F8-06"	NA	NA	0.560376260299964	0.507820439911	0.272285034205	0.279580566666667	"SKCM"	0.23	0.25	0.3587417	0.3529
"TCGA-EB-A44Q-06"	NA	NA	0.95450808700376	0.699923241443	0.542935823701	0.561168466666667	"SKCM"	0.62	0.59	0.4735054	0.6256
"TCGA-EB-A44R-06"	NA	NA	1.0242744004238	0.800450859706	0.550665370501	0.522663666666667	"SKCM"	0.53	0.49	0.547991	0.7744
"TCGA-EB-A5KH-06"	NA	NA	0.438823795571769	0.896406199288	0.832679220795	0.8518238	"SKCM"	0.84	0.85	0.8654714	0.8467
"TCGA-EB-A5SG-06"	NA	NA	0.499180965091694	0.44114166333	0.223320510288	0.4721801	"SKCM"	0.21	1	0.2065403	0.2416
"TCGA-EB-A5SH-06"	NA	NA	0.396639097805382	0.845754254953	0.617615358019	0.573017666666667	"SKCM"	0.56	0.71	0.449053	0.8454
"TCGA-EB-A5UL-06"	NA	NA	0.943520621996143	0.800503203521	0.499723442614	0.6051654	"SKCM"	0.39	0.44	0.9854962	0.7915
